               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,             0.02239,           0.0054884,           0.0026433,             0.95163,             0.96298,             0.97821,             0.69012,             0.02395,           0.0063993,           0.0037334,            0.006238,            0.006238,            0.006238
                  78,            0.022619,           0.0052866,           0.0026277,             0.94798,             0.96013,             0.97424,             0.69429,            0.023965,           0.0064501,           0.0041618,           0.0061885,           0.0061885,           0.0061885
                  79,            0.022029,           0.0053037,           0.0026359,             0.95924,             0.95108,             0.97235,             0.69393,            0.024336,           0.0066497,           0.0040339,            0.006139,            0.006139,            0.006139
                  80,            0.022458,           0.0052683,           0.0026625,             0.94563,             0.96755,             0.97407,             0.68797,             0.02389,           0.0065539,            0.003744,           0.0060895,           0.0060895,           0.0060895
                  81,            0.022189,           0.0053365,           0.0025024,              0.9579,             0.95874,             0.97751,             0.69616,              0.0237,           0.0065785,           0.0038604,             0.00604,             0.00604,             0.00604
                  82,            0.021244,            0.005229,           0.0024825,             0.95693,             0.95851,             0.97791,             0.69611,            0.023674,           0.0064929,            0.003772,           0.0059905,           0.0059905,           0.0059905
                  83,            0.021728,            0.005347,           0.0027792,             0.95032,             0.95791,             0.97382,             0.69369,            0.024045,           0.0066158,           0.0040509,            0.005941,            0.005941,            0.005941
                  84,            0.022111,           0.0051989,           0.0026527,             0.95201,             0.96689,             0.97209,              0.6939,            0.024107,           0.0064437,           0.0040216,           0.0058915,           0.0058915,           0.0058915
                  85,            0.022097,           0.0052041,           0.0026134,             0.95669,             0.96823,              0.9765,             0.69386,            0.024005,           0.0065975,           0.0040812,            0.005842,            0.005842,            0.005842
                  86,            0.021636,           0.0052217,           0.0024365,             0.95467,             0.95645,             0.97244,             0.69462,            0.024258,           0.0066042,           0.0041374,           0.0057925,           0.0057925,           0.0057925
                  87,            0.021441,           0.0052186,           0.0025774,             0.95221,             0.96956,              0.9751,             0.69853,            0.023838,           0.0065511,           0.0040995,            0.005743,            0.005743,            0.005743
                  88,             0.02071,           0.0051674,           0.0024609,             0.95933,             0.95951,             0.97417,             0.69699,            0.023591,           0.0065942,           0.0040698,           0.0056935,           0.0056935,           0.0056935
                  89,            0.021415,           0.0051642,           0.0024673,             0.95832,             0.96289,             0.97721,              0.6894,            0.024195,            0.006505,             0.00377,            0.005644,            0.005644,            0.005644
                  90,            0.020875,           0.0051566,           0.0023524,             0.95346,               0.959,             0.97756,             0.69435,            0.024169,           0.0065262,           0.0039401,           0.0055945,           0.0055945,           0.0055945
                  91,            0.020991,           0.0050142,            0.002391,             0.95033,             0.96265,             0.97456,             0.69883,            0.023685,           0.0065912,           0.0040102,            0.005545,            0.005545,            0.005545
                  92,             0.02083,           0.0052086,           0.0022494,             0.95985,             0.95833,             0.97923,              0.7032,             0.02369,           0.0065646,           0.0038897,           0.0054955,           0.0054955,           0.0054955
                  93,             0.02086,            0.005132,           0.0026408,             0.95194,             0.96151,             0.97711,             0.69919,            0.023654,           0.0065455,           0.0038305,            0.005446,            0.005446,            0.005446
                  94,            0.020763,           0.0050599,           0.0025036,             0.95681,             0.95675,             0.97628,             0.69988,            0.023807,           0.0066072,           0.0040786,           0.0053965,           0.0053965,           0.0053965
                  95,            0.021065,           0.0050163,           0.0024099,             0.95857,             0.96661,             0.97971,             0.70249,            0.023979,            0.006606,           0.0038763,            0.005347,            0.005347,            0.005347
                  96,            0.021312,           0.0049963,           0.0025753,             0.95054,             0.96793,             0.97539,             0.69889,            0.023826,           0.0065369,           0.0038999,           0.0052975,           0.0052975,           0.0052975
                  97,            0.020668,           0.0050782,           0.0023715,             0.95471,             0.96381,             0.97944,             0.70162,            0.023849,           0.0066178,           0.0036428,            0.005248,            0.005248,            0.005248
                  98,            0.020392,           0.0050266,           0.0023748,              0.9565,             0.95893,             0.97749,             0.70061,            0.023557,           0.0065757,           0.0037757,           0.0051985,           0.0051985,           0.0051985
                  99,             0.01987,           0.0049096,           0.0023548,             0.96361,              0.9592,             0.97808,             0.70188,             0.02348,           0.0065045,           0.0035562,            0.005149,            0.005149,            0.005149
                 100,            0.020372,           0.0048581,           0.0023986,             0.95376,             0.96067,             0.97769,             0.69837,            0.023838,            0.006671,           0.0041299,           0.0050995,           0.0050995,           0.0050995
                 101,            0.020278,            0.004916,           0.0023618,             0.95565,             0.96149,             0.98057,             0.70045,            0.023993,           0.0065434,           0.0040397,             0.00505,             0.00505,             0.00505
                 102,            0.020401,            0.004993,            0.002523,             0.95735,             0.96506,              0.9779,             0.70009,            0.023975,           0.0066558,           0.0039489,           0.0050005,           0.0050005,           0.0050005
                 103,            0.020133,            0.004892,           0.0023066,             0.95028,             0.97235,             0.97604,             0.70366,            0.023651,           0.0066644,           0.0038983,            0.004951,            0.004951,            0.004951
                 104,            0.020276,           0.0048189,           0.0023214,             0.94463,             0.96721,             0.97408,             0.69377,            0.023802,           0.0065435,           0.0042248,           0.0049015,           0.0049015,           0.0049015
                 105,            0.019761,           0.0049175,           0.0023754,             0.95173,             0.95221,               0.973,             0.69867,            0.023595,           0.0066169,           0.0042281,            0.004852,            0.004852,            0.004852
                 106,            0.019592,           0.0049134,           0.0022265,             0.95762,             0.95405,             0.97555,             0.69845,            0.023647,            0.006628,           0.0039596,           0.0048025,           0.0048025,           0.0048025
                 107,            0.019265,           0.0047977,            0.002183,             0.95411,             0.95339,             0.97492,             0.70237,             0.02347,           0.0066143,           0.0040123,            0.004753,            0.004753,            0.004753
                 108,            0.019033,           0.0047582,           0.0021956,             0.95361,             0.95693,             0.97578,             0.69982,            0.023516,           0.0065862,           0.0038203,           0.0047035,           0.0047035,           0.0047035
